Batch Data Path,D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.17.18 HS 3.18)\QuantResults\VOC10.batch.bin
Analysis Time,2026-03-23 오전 11:09:58,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-03-23 오전 11:09:58,Analyze Quant Version,10.2,Report Quant Version,10.2
DCM
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
Dil.,1,Acq. Method File,2025 VOCs(10) NEW
Sample Chromatogram


Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units
DCM,,5.153,564328,4186,,0.250,mg/L
Chloroform,,5.720,197123,4186,,0.200,mg/L
Carbon Chloride,,5.922,242098,4186,,0.192,mg/L
"1,2-DCE",,5.986,91560,4186,,0.199,mg/L
Benzene,,5.999,506540,4186,,0.197,mg/L
TCE,,6.238,130422,4186,,0.175,mg/L
PCE,,7.156,145809,4186,,0.196,mg/L
DCM
,,
Chloroform
,,
Carbon Chloride
,,
"1,2-DCE"
,,
Benzene
,,
TCE
,,
PCE
,,
Batch Data Path,D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.17.18 HS 3.18)\QuantResults\VOC10.batch.bin
Analysis Time,2026-03-23 오전 11:09:58,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2
Report Generation Time,2026-04-10 오전 11:12:38,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-03-23 오전 11:09:58,Batch State,Processed
Analyze Quant Version,10.2,Report Quant Version,10.2
Acq. Date-Time,2026-03-18 오후 5:22:06,Data File,VOC10 ST-06.D
Type,Cal,Name,VOC10 ST-06
Dil.,1,Acq. Method File,2025 VOCs(10) NEW
Sample Chromatogram


Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units
DCM,,5.153,818767,3891,,0.396,mg/L
Chloroform,,5.720,372099,3891,,0.401,mg/L
Carbon Chloride,,5.922,480978,3891,,0.405,mg/L
"1,2-DCE",,5.987,172781,3891,,0.401,mg/L
Benzene,,5.999,977716,3891,,0.403,mg/L
TCE,,6.238,293896,3891,,0.412,mg/L
PCE,,7.150,282581,3891,,0.403,mg/L
DCM
,,
Chloroform
,,
Carbon Chloride
,,
"1,2-DCE"
,,
Benzene
,,
TCE
,,
PCE
,,
Batch Data Path,D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.17.18 HS 3.18)\QuantResults\VOC10.batch.bin
Analysis Time,2026-03-23 오전 11:09:58,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2
Report Generation Time,2026-04-10 오전 11:12:38,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-03-23 오전 11:09:58,Batch State,Processed
Analyze Quant Version,10.2,Report Quant Version,10.2
Acq. Date-Time,2026-03-18 오후 5:47:27,Data File,BK-.D
Type,Blank,Name,BK-
